iter,compile_s,run_s,total_s
1,23.660906,0.830755,24.505937
2,18.821586,0.860598,19.695021
3,19.050247,0.854973,19.919985
4,19.414767,0.828499,20.258220
5,19.080775,0.915271,20.009472
6,19.209722,0.837352,20.061778
7,19.311761,0.863669,20.188129
8,19.714289,0.923973,20.652981
9,45.155443,0.926741,46.094784
10,19.789644,0.843028,20.647562
